<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:4c113edf07624304f88909ccaef610296a237bc94ef690e158f5011445516064
size 838
=======
User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
0,0,Visa,Debit,4344676511950444,12/2022,623,YES,2,$24295,09/2002,2008,No
0,1,Visa,Debit,4956965974959986,12/2020,393,YES,2,$21968,04/2014,2014,No
0,2,Visa,Debit,4582313478255491,02/2024,719,YES,2,$46414,07/2003,2004,No
0,3,Visa,Credit,4879494103069057,08/2024,693,NO,1,$12400,01/2003,2012,No
0,4,Mastercard,Debit (Prepaid),5722874738736011,03/2009,075,YES,1,$28,09/2008,2009,No
1,0,Visa,Credit,4404898874682993,09/2003,736,YES,1,$27500,09/2003,2012,No
1,1,Visa,Debit,4001482973848631,07/2022,972,YES,2,$28508,02/2011,2011,No
1,2,Mastercard,Debit,5627220683410948,06/2022,048,YES,2,$9022,07/2003,2015,No
1,3,Mastercard,Debit (Prepaid),5711382187309326,11/2020,722,YES,2,$54,06/2010,2015,No
>>>>>>> bf8572a972d6a2d15198330b16ab4276348a8967
